,OBJECTID,UtilityCompany,StartDateTime,ImpactedCustomers,County,FID,x,y,xp,yp,lon,lat,StartDate,StartTime
18,1193111.0,PGE,2020-04-05 15:37:49,10,NEVADA,,0.33172053487061604,0.7396750741061471,-13477919.405397872,4739177.9064115845,-121.07421000000001,39.12211,2020-04-05,15:37:49
35,1193198.0,PGE,2020-04-05 17:43:12,1,CONTRA COSTA,,0.20181137771120028,0.6083868553199134,-13618253.208271505,4579250.643938741,-122.33485000000002,37.998759999999976,2020-04-05,17:43:12
16,1193102.0,PGE,2020-04-05 15:31:00,1,SANTA CRUZ,,0.24954730459830365,0.4926802498586911,-13566686.680551335,4438303.94794031,-121.87162,36.99424,2020-04-05,15:31:00
14,1193100.0,SCE,2020-04-05 15:03:08,14,LOS ANGELES,,0.6352484001178791,0.21905595961738422,-13150034.747074714,4104991.605911983,-118.12877200000001,34.565512000006585,2020-04-05,15:03:08
12,1193092.0,PGE,2020-04-05 15:22:16,3,NAPA,,0.21355909626382186,0.6433544764549657,-13605562.78632107,4621846.057106939,-122.22084999999998,38.29967,2020-04-05,15:22:16
11,1193090.0,PGE,2020-04-05 14:57:00,100,ALAMEDA,,0.24975237442215992,0.5607589838600009,-13566465.154764658,4521233.289674879,-121.86963000000002,37.58690999999999,2020-04-05,14:57:00
10,1193074.0,SCE,2020-04-05 13:46:06,92,ORANGE,,0.654192678310686,0.12778632012492075,-13129570.272824986,3993812.5243016267,-117.94493649999998,33.73902100000359,2020-04-05,13:46:06
9,1193056.0,PGE,2020-04-05 13:49:00,8,SONOMA,,0.15655999024781764,0.6468218013972198,-13667135.823068647,4626069.73986572,-122.77396999999999,38.32944,2020-04-05,13:49:00
8,1193048.0,PGE,2020-04-05 13:32:00,46,SAN LUIS OBISPO,,0.35562714212519886,0.3272848395764081,-13452094.396728735,4236829.394956339,-120.84221999999997,35.53502999999999,2020-04-05,13:32:00
7,1193044.0,PGE,2020-04-05 13:22:22,169,PLUMAS,,0.34113313673549683,0.806170324871148,-13467751.483108811,4820178.345907279,-120.98286999999998,39.68435,2020-04-05,13:22:22
6,1193005.0,PGE,2020-04-05 10:32:31,213,SANTA CRUZ,,0.24745126428812725,0.4910957099384907,-13568950.91899407,4436373.758513876,-121.89195999999998,36.98039000000001,2020-04-05,10:32:31
1,1192930.0,PGE,2020-04-05 02:29:51,6,SANTA CLARA,,0.22858587099489824,0.5241574611020496,-13589330.178173596,4476647.557679021,-122.07503000000001,37.26885000000001,2020-04-05,02:29:51
71,1193292.0,PGE,2020-04-05 20:33:41,1,YOLO,,0.26023051496979654,0.6855039117563866,-13555146.188940795,4673189.91617405,-121.76795,38.66072999999999,2020-04-05,20:33:41
5,1193003.0,PGE,2020-04-05 10:38:19,48,PLACER,,0.3435208090062343,0.733916947000627,-13465172.210507132,4732163.708843287,-120.9597,39.07321,2020-04-05,10:38:19
4,1192992.0,PGE,2020-04-05 07:32:59,20,SANTA CLARA,,0.25372598869750185,0.5360635706103452,-13562172.675199669,4491150.850647477,-121.83107000000001,37.37245999999998,2020-04-05,07:32:59
2,1192970.0,PGE,2020-04-05 05:03:00,2,SHASTA,,0.21552220186406146,0.9112102554413242,-13603442.150021458,4948131.552232501,-122.2018,40.56324,2020-04-05,05:03:00
3,1192988.0,PGE,2020-04-05 07:14:00,53,SANTA CRUZ,,0.2379500392832874,0.5089805860871284,-13579214.576045211,4458160.018610639,-121.98416,37.13657000000001,2020-04-05,07:14:00
15,1193101.0,PGE,2020-04-05 15:34:00,118,CALAVERAS,,0.38573015566546687,0.6565546913207472,-13419575.747078208,4637925.749916049,-120.5501,38.41293999999999,2020-04-05,15:34:00
36,1193200.0,PGE,2020-04-05 17:45:00,168,SAN FRANCISCO,,0.19319226209943885,0.5811514814478391,-13627563.970481453,4546074.180535903,-122.41849,37.76353,2020-04-05,17:45:00
19,1193112.0,PGE,2020-04-05 15:36:46,1,PLACER,,0.3184404603980209,0.7178893951779721,-13492265.1481764,4712639.92741921,-121.20307999999999,38.93692,2020-04-05,15:36:46
38,1193210.0,PGE,2020-04-05 17:55:00,15,PLACER,,0.3224408677156756,0.7030500605741352,-13487943.725543804,4694563.559394335,-121.16426,38.81049999999996,2020-04-05,17:55:00
56,1193259.0,PGE,2020-04-05 19:22:00,1,SAN LUIS OBISPO,,0.3585764377828795,0.33286560927083286,-13448908.432902236,4243627.546595322,-120.81360000000001,35.584709999999994,2020-04-05,19:22:00
57,1193262.0,PGE,2020-04-05 19:32:20,3,BUTTE,,0.28383106324103125,0.8098808329570755,-13529651.79915932,4824698.259468845,-121.53893,39.715589999999985,2020-04-05,19:32:20
58,1193265.0,PGE,2020-04-05 19:39:46,1,PLACER,,0.3270059899251567,0.7080299511699293,-13483012.272101665,4700629.756938659,-121.11996000000002,38.85294999999998,2020-04-05,19:39:46
